Name	Address	latitude	longitude
Verde Tea Cafe	852 Villa St, Mountain View	37.394148	-122.079493
Teaspoon	236 Castro St, Mountain View	37.393535	-122.079754
Tapioca Express	740 Villa St, Mountain View	37.393787	-122.078675
Jazen Tea	220 Castro St, Mountain View	37.393587	-122.079274
Chilly Munch	2101 Showers Dr, Mountain View	37.406684	-122.106713
Verde Tea Kitchen	210 Hope St, Mountain View	37.392447	-122.078512
Pearl Cafe	506 Showers Dr, Mountain View	37.403815	-122.105465
Ocha Tea Cafe & Restaurant	1350 Grand Rd, Ste 8, Mountain View	37.378843	-122.076394
Boba Dude	80 Cabrillo Hwy N, Half Moon Bay	37.48526	-122.44762
Pop Tea Bar	456 Cambridge Ave, Palo Alto	37.426512	-122.146169
Gong Cha	439 Waverly St, Palo Alto	37.447628	-122.160729
Sharetea	540 Bryant St, Palo Alto	37.444374	-122.159205
T4	165 University Ave, Palo Alto	37.444551	-122.16334
Teaspoon	4546 El Camino Real, Los Altos	37.401084	-122.114359
Ya-Ua Yogurt & Boba Tea	1090 Alameda De Las Pulgas, Belmont	37.510359	-122.293551
The Burrow	109 Vistication, Brisbane	37.683409	-122.402856
Tpumps	1118 Burlingame Ave, Burlingame	37.579588	-122.345994
Tiger Tea	1803 El Camino Real, Burlingame	37.584147	-122.366192
Quickly	1407 Burlingame Ave, Burlingame	37.577563	-122.348169
Teaven	79 Skyline Plz, Daly City	37.682259	-122.487313
Quickly	175 Southgate Ave, Daly City	37.69724	-122.483995
FrosTea Boba Tea	6178 Mission St, Daly City	37.705602	-122.461652
Chatime	969 A Edgewater Blvd, Foster City	37.553953	-122.276949
Tpumps	985 E Hillsdale Blvd, Foster City	37.553658	-122.278683
Eggettes	979 Broadway, Millbrae	37.605082	-122.3974
T4	315 Broadway, Millbrae	37.600913	-122.39195
Honeyberry	153 El Camino Real, Millbrae	37.60808	-122.399372
Quickly	325 El Camino Real, Millbrae	37.60808	-122.399372
Sweet Indulgence	298 Broadway, Millbrae	37.60077	-122.391481
Tasty Pearl Cafe	213 El Camino Real, Millbrae	37.60808	-122.399372
Bambu	203 El Camino Real, Millbrae	37.60808	-122.399372
Search Tea	105 Park Blvd, Millbrae	37.612365	-122.403894
Chatime	2202 Broadway St, Redwood City	37.486549	-122.229302
Teaquation	1036 El Camino Real, Redwood City	37.481769	-122.229069
Comebuy Drinks	2074 Broadway, Redwood City	37.486694	-122.227682
Teatime	1003 El Camino Real, Redwood City	37.484505	-122.232541
Quickly	300 Walnut St, Redwood City	37.491741	-122.224221
Bambu	153 South B St, San Mateo	37.648034	-122.428637
Cha Express	212 E 3rd Ave, San Mateo	37.568492	-122.318065
